name,service_id,alternative_name,parent_service_type,service_type,alt_type,short_desc ,description ,outcomes,how_to_access,organization,service_area,audience,eligibility,documentation_required,facilities,languages,urls,emails,phones,hours_available,staff_contacts,fees,method_of_payment,funding_sources,wait,Source,Last Updated,Notes
"NYC Department for the Aging - Senior Housing Resources
",143,,Services,Housing Assistance,Housing,The NYC Department for the Aging (DFTA) provides a comprehensive online listing of senior housing operating within the five boroughs. The information can be viewed by borough or zip code.,"In addition to providing information about types of senior housing, this comprehensive Guide is a good resource for people of any age who want to find subsidized housing through lotteries.  The Guide also lists city, state and federal websites, addresses and phone numbers; describes housing benefits, rights and protections; lists sources of financial/legal assistance and contact information for non-profits providing housing assistance; and provides information about housing courts in the five boroughs - www.nyc.gov/html/dfta/downloads/pdf/benefits/Housing_Guide_11.pdf",housing,Visit - https://a069-webapps12.nyc.gov/egovt/housing/index.cfm.,DFTA,New York City,"Seniors, Individuals, Families",,,,,"
https://a069-webapps12.nyc.gov/egovt/housing/index.cfm.",,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Department of Consumer Affairs  - DCA licences,144,,Services,Other Services,Housing,"As a consumer, you can check if a business has a DCA license, and register an account to file a conumer complaint against a business with DCA",,information,Visit - https://a858-elpaca.nyc.gov/CitizenAccess/,NYC Department of Consumer Affairs,New York City,Consumers,,,,,https://a858-elpaca.nyc.gov/CitizenAccess/,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Department of Homeless Services - Family Intake Centers,145,DHS,Services,Temporary Housing,Housing,"Operates emergency housing, shelters, hotels. If you are in need of immediate emergency housing, you should go to a family or single adult shelter intake center.","The Path Office is the intake center for families in need of emergency housing. The Path office is open 24 hours a day, seven days a week:Prevention Assistance and Temporary Housing (Path) Office: 346 Powers Avenue, Bronx, NY 10454",Temporary Housing,"The Path Office is the intake center for families in need of emergency housing. The Path office is open 24 hours a day, seven days a week:Prevention Assistance and Temporary Housing (Path) Office: 346 Powers Avenue, Bronx, NY 10454",DHS,New York City,"Families, Parents, Homeless, Unstable Housing, Temporarily Displaced",,,"346 Powers Avenue, Bronx, NY 10454",,http://www.nyc.gov/html/dhs/html/home/home.shtml,,311,24/7,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Department of Homeless Services - Adult Families with No Children Under 21,146,DHS,Services,Temporary Housing,Housing,"Operates emergency housing, shelters, hotels. If you are in need of immediate emergency housing, you should go to a family or single adult shelter intake center.","Adult families with no children under 21 should go to the Adult Family Intake Center (AFIC), located in Manhattan. AFIC is open 24 hours a day, seven days a week. 29th Street and 1st Avenue, Manhattan, NY 10016",Temporary Housing,"Adult families with no children under 21 should go to the Adult Family Intake Center (AFIC), located in Manhattan. AFIC is open 24 hours a day, seven days a week. 29th Street and 1st Avenue, Manhattan, NY 10016",DHS,New York City,"Families, Homeless, Unstable Housing, Temporarily Displaced",,,"400-430 East 30th Street, New York, NY 10016",,http://www.nyc.gov/html/dhs/html/home/home.shtml,,311,24/7,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
"NYC Department of Homeless Services - Single Adult Women
",147,DHS,Services,Temporary Housing,Housing,"Operates emergency housing, shelters, hotels. If you are in need of immediate emergency housing, you should go to a family or single adult shelter intake center.","There are three intake centers for single adult women in need of emergency housing: Brooklyn Women's Shelter, 116 Williams Avenue, Brooklyn, NY 11217 Franklin Shelter, 1122 Franklin Ave., Bronx, NY 10456 Jamaica Armory (Women), 93-05 168th Street, Jamaica, NY 11434",Temporary Housing,"There are three intake centers for single adult women in need of emergency housing: Brooklyn Women's Shelter, 116 Williams Avenue, Brooklyn, NY 11217 Franklin Shelter, 1122 Franklin Ave., Bronx, NY 10456 Jamaica Armory (Women), 93-05 168th Street, Jamaica, NY 11434",DHS,New York City,"Families, Women, Homeless, Unstable Housing, Temporarily Displaced",,,"116 Williams Avenue, Brooklyn, NY 11217; 1122 Franklin Avenue, Bronx, NY 10456; 93-05 168th Street, Jamaica, NY 11434",,http://www.nyc.gov/html/dhs/html/home/home.shtml,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Department of Homeless Services - Single Adult Men,148,DHS,Services,Temporary Housing,Housing,"Operates emergency housing, shelters, hotels. If you are in need of immediate emergency housing, you should go to a family or single adult shelter intake center.","There is one intake center for single adult men in need of emergency housing: 30th Street Intake, 400-430 East 30th Street (near 1st Avenue), New York, NY 10016",Temporary Housing,"There is one intake center for single adult men in need of emergency housing: 30th Street Intake, 400-430 East 30th Street (near 1st Avenue), New York, NY 10016",DHS,New York City,"Families, Men, Homeless, Unstable Housing, Temporarily Displaced",,,"400-430 East 30th Street, New York, NY 10016",,http://www.nyc.gov/html/dhs/html/home/home.shtml,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
"NYC Department of Housing Preservation and Development - 
Storm Recovery Loan Program",149,HPD,Services,Construction Assistance,Housing,"HPD and the Community Preservation 
Corporation provide loans to rehabilitate multifamily buildings (five or more units) damaged by Hurricane Sandy. ",HPD provides City or Federal funds at 1% interest which combined with CPC conventional financing makes the cost of the loan significantly below market rate. The funds may be used  for moderate or substantial rehabilitation of multiple dwellings damaged by the storm. Permitted uses include refinancing existing debt on the  building or repairing damage and mitigating the effects of future storms. ,Repair and rebuilding,See - http://www.nyc.gov/html/hpd/html/home/hurricane-sandy.shtml,HPD,New York City,Landlords,,,,,http://www.nyc.gov/html/hpd/html/home/hurricane-sandy.shtml,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYC Housing Recovery - NYC Housing Recovery,150,,Services,Rental Assistance,Housing,New York City is offering a temporary rental subsidy and housing referral assistance to eligible low-income renters who were affected by Hurricane Sandy and who remain displaced from their homes as a result of the storm,The type of assistance offered depends on household income. Low-income renter households are defined as households whose income is less than 50% of the federally determined Area Media Income (AMI). TDAP rental subsidy is limited to two years and must be used within New York City. Households are required to pay 30% of their income toward rent.,Temporary Housing,See - http://www.nyc.gov/html/recovery/html/renters/renters.shtml,City of NY,New York City,"Disaster Survivors, Unstable Housing",Initial income eligibility is determined through  the central Build it Back 311 intake process. Income and other eligibility factors are further reviewed and confirmed through the TDAP program at HPD.,,,,http://www.nyc.gov/html/recovery/html/renters/renters.shtml,,311,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
New York Mortgage Coalition ,151,,Services,"Foreclosure Prevention, Referral Services",Housing,"To create and protect affordable home ownership in the New York Metro area. Counseling to assist with affordable housing, insurance issues.",,"foreclosure counseling, referrals",Visit www.nymc.org or call 212-742-0762,New York Mortgage Coalition ,New York City,Homeowners,,,"50 Broad Street, Suite 1125, New York, NY 10003",,www.nymc.org,,(212) 742-0762,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
NYS Department of Homes and Community Renewal,152,HCR,Services,Other Housing Services,Housing,"HCR comprises all the State's major housing and community renewal agencies, including, the Affordable Housing Corporation, NYS Division of Housing and Community Renewal, Housing Finance Agency, State of New York Mortgage Agency, Housing Trust Fund Corporation and others. ",,information about NYS housing programs,Visit http://nysdhcr.gov and http://www.nyshousingsearch.org,NYS Department of Homes and Community Renewal,New York State,"Individuals, Families, Municipalities, Non-profits",,,,,http://nysdhcr.gov and http://www.nyshousingsearch.org,info@socialserve.com,(866) 275-3427; (877)428-8844,M-F: 9-5,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,Call: 1-866-ASK-DHCR (1-866-275-3427)  MPORTANT NOTICE: Socialserve.com   Opens new browser window handles the property listings for NYHousingSearch.gov. Socialserve.com staff will help you list and update your property information. PLEASE accept emails and/or phone calls from Socialserve.com on behalf of the NYHousingSearch.gov site. Thank you!
Partnership for the Homeless,153,,Services,"Case Management, Advocacy",Housing,Our goal is to  prevent and end urban homelessness by developing replicable evidence-based  programs using rigorous research to investigate how both personal circumstances  and systemic  barriers interact to cause homelessness.,"We've placed a special focus on populations for whom homelessness is on the rise or assistance is underrepresented, developing models of practice that address each of their unique needs. Families and Children — now comprising the largest segment of New York City's homeless population. Older Adults — one of the fastest growing and most marginalized homeless constituencies in New York City. Chronically Ill — especially homeless individuals coping with or at-risk of HIV/AIDS who are often disconnected from health care.","Case management, access to housing and benefits",Visit http://partnershipforthehomeless.org/pages/family-resource-center/,Partnership for the Homeless,New York City,"Homeless, Unstable housing, Families, Seniors, HIV/AIDS",,,"305 Seventh Avenue, 13th Floor; New York, NY 10001",,http://partnershipforthehomeless.org/, info@pfth.org,(212) 645-3444,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
New York City - Rebuilding and Recovery Resources,154,,Services,Other Housing Services,Housing,"To help individuals whose homes were damaged by the storm, NYC government's website links to guides and handouts created by the Department of Buildings, Department of Health and Mental Hygiene, Department of Consumer Affairs, American Institute of Architects and FEMA","Codes, zoning and permits- http://www.nyc.gov/html/recovery/html/resources/codes.shtml;  ABFE impacts- http://www.nyc.gov/html/recovery/html/resources/abfe.shtml;  Removing mold - http://www.nyc.gov/html/recovery/html/resources/mold.shtml; Finding licensed professionals - http://www.nyc.gov/html/recovery/html/resources/professionals.shtml;  Mitigation and retrofitting- http://www.nyc.gov/html/recovery/html/resources/mitigation.shtml; Sustainability -  http://www.nyc.gov/html/recovery/html/resources/sustainability.shtml ",Recovery and rebuilding infomation,Visit http://www.nyc.gov/html/recovery,City of NY,New York City,"Homeowners, Disaster survivors",,,,,http://www.nyc.gov/html/recovery,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Mortgage Insurance/ Financing,155,US Department of Housing and Urban Development,Financial Assistance,Other Financial Assistance for Housing,Housing,"The federal government provides mortgage insurance for a broad range of properties, on loans made by FHA-approved lenders throughout the United States and its territories. FHA insures mortgages on single family and multifamily homes including manufactured homes and hospitals. It is the largest insurer of mortgages in the world, insuring over 34 million properties since its inception in 1934.","HUD’s Office of Housing is divided into four business areas: Single Family Housing - HUD's Single Family programs include mortgage insurance on loans to purchase new or existing homes, condominiums, manufactured housing, houses needing rehabilitation, and for reverse equity mortgages to elderly homeowners. Multifamily Housing - HUD's Multifamily programs provide mortgage insurance to HUD-approved lenders to facilitate the construction, substantial rehabilitation, purchase and refinancing of multifamily housing projects. Healthcare Programs -
HUD's Healthcare programs provide mortgage insurance on loans that finance the construction, renovation, acquisition, or refinancing of healthcare facilities such as hospitals and residential care facilities. Regulatory Programs - HUD's Regulatory programs are designed to assist homeowners, homebuyers, and regulate real estate transactions.",Federal mortgage insurance ,"For a full list of programs, visit  http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh/progdesc
",HUD,United States,"Homeowners, Landlords, Non-profits, Municipalities, Real estate developers",,,,,http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh/progdesc,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Special Needs/Supportive Housing,156,US Department of Housing and Urban Development,Financial Assistance,Other Financial Assistance for Housing,Housing,HUD’s Special Needs/Supportive Housing programs offer direct financing for the construction and rehabilitation of properties designed to house special-needs populations such as residents with disabilities or elderly residents.,"Financing takes the form of loans tied to fixed-length use agreements. Loans are forgiven after the expiration of the use-agreements provided that property owners comply with their terms, which typically means reserving some or all of the building units for the target population. HUD also offers rental assistance for the tenants of these buildings in the form of Project Rental Assistance Payments (PRAP). More information on these programs is available in the links below: Section 202 Supportive Housing for the Elderly - 
http://portal.hud.gov/hudportal/HUD/program_offices/housing/mfh/progdesc/eld202 Section 811 Supportive Housing for Persons with Disabilities - 
http://portal.hud.gov/hudportal/HUD/program_offices/housing/mfh/progdesc/disab811  Assisted-Living Conversion Program (ALCP) - 
http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh/alcp/alcphomeDemonstration Program for Elderly Housing for Intergenerational Families - 
http://portal.hud.gov/hudportal/HUD/program_offices/housing/mfh/progdesc/eldfamEmergency Capital Repair Program (ECRP) -
http://www.hud.gov/offices/hsg/mfh/progdesc/ecrp.cfm   For some of these categories, HUD provides direct financing in addition to mortgage insurance, to encourage further creation of affordable housing for special-needs populations.",Financing for supportive housing construction ,See Special Needs Housing links - http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh/progdesc,HUD,United States,"Landlords, Non-profits, Municipalities, Real estate developers",,,,,http://portal.hud.gov/hudportal/HUD?src=/program_offices/housing/mfh/progdesc,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Green Refinance Plus,157,US Department of Housing and Urban Development,Financial Assistance,Other Financial Assistance for Housing,Housing,"Green Refinance Plus is an enhancement of the Fannie Mae/FHA Risk-Share program, which provides funding for the refinance, preservation and energy-efficient retrofits of older affordable multifamily housing properties, including those that are currently in Fannie Mae’s or FHA’s portfolio. ","This program allows for lower debt service coverage and higher loan to value ratios, to generate extra loan proceeds for property rehab and energy-efficient retrofits. Green Refinance Plus enhances the standard Fannie Mae/FHA Risk Sharing program, which uses Fannie Mae’s DUS® underwriting requirements, by generating additional proceeds to complete renovations or energy retrofits, in addition to refinancing a project’s outstanding loan balance. Thresholds: Property must be at least 10 years old, with a recorded use agreement of the affordability restrictions that extends for at least the term of the new loan to help preserve affordable housing.At least 5 percent of the refinance loan proceeds must be applied to property renovation or energy retrofit.All rehabilitation and energy improvements must enhance value and improve property operations.",Financing for green retrofits,See: http://portal.hud.gov/hudportal/documents/huddoc?id=GreenRefiPlusFactSheet.pdf,HUD,United States,"Landlords, Non-profits, Municipalities, Real estate developers",,,,,http://portal.hud.gov/hudportal/documents/huddoc?id=GreenRefiPlusFactSheet.pdf,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Rental Assistance Programs,158,US Department of Housing and Urban Development,Financial Assistance,Rental Assistance,Housing,HUD’s Rental Assistance Programs serve nearly 5 million low-income households throughout the United States. The four main current rental assistance programs are: Traditional public housing; Portable voucher rental assistance (Section 8);  Project-based voucher rental assistance (Section 8); Supportive Housing (Section 202/811),"Traditional public housing and portable housing choice vouchers (HCVs) as well as certain project-based vouchers are administered by local entities called public housing authorities (PHAs). There are over 3,300 PHAs throughout the country, with a huge range in size and scale.  PHAs are required to run rental assistance programs in accordance with federal regulations, but they have discretion and autonomy over much of their day-to-day operations. As such, local PHAs are excellent sources of place-based information regarding rental assistance, and there are significant differences between PHAs and their operations.You can locate your local PHA here: http://portal.hud.gov/hudportal/HUD?src=/program_offices/public_indian_housing/pha/contacts ",rental assistance,You can locate your local PHA here: http://portal.hud.gov/hudportal/HUD?src=/program_offices/public_indian_housing/pha/contacts ,HUD,United States,"Renters, Low-Income, Individuals, Seniors, Families",,"recipients must certify that they meet income-eligibility requirements each year. Another standard is that recipients generally pay 30% of their adjusted income towards monthly rent, with HUD subsidy covering the balance. ",,,operations.You can locate your local PHA here: http://portal.hud.gov/hudportal/HUD?src=/program_offices/public_indian_housing/pha/contacts ,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Public Housing,159,US Department of Housing and Urban Development,"Financial Assistance, Services","Rental Assistance, Housing Assistance",Housing,"Public housing was established to provide decent and safe rental housing for eligible low-income families, the elderly, and persons with disabilities. Public housing comes in all sizes and types, from scattered single family houses to high rise apartments for elderly families. ",,"rental assistance, housing",Visit http://www.nyc.gov/html/nycha/html/assistance/app_for_pubhsg.shtml,HUD,United States,"Renters, Low-Income, Individuals, Seniors, Families, Disabled, Domestic Violence Survivors","You May Be Eligible For An Apartment If: The income limits of your family does not exceed the established Income Limits. You meet NYCHA's definition of family. The term “family” as used by the New York City Housing Authority includes the following: Two or more persons related by blood, marriage, domestic partnership, adoption, guardianship or court awarded custody. A single person. Your admission to a public housing development will not endanger the welfare and safety of other residents. You and your co-applicant (spouse or domestic partner, if any) must be at least 18 years of age.To be eligible for a senior building, you or your co-head (spouse or  domestic partner, if any) must be at least 62 years of age and all other household members must be at least 62 years of age.",,"478 East Fordham Road, 2nd Floor, Bronx, NY 10458; 787 Atlantic Avenue, 2nd Floor, Brooklyn, NY 11238; 90-27 Sutphin Boulevard, 4th Floor, Jamaica, NY 11435","Spanish, Chinese, Russian",http://www.nyc.gov/html/nycha/html/assistance/app_for_pubhsg.shtml,,(718) 707-7771,Customer contact centers open 8am-5pm,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,"Bronx/Manhattan Customer Contact Center - 478 East Fordham Road (1 Fordham Plaza), 2nd Floor Bronx, NY 10458; Brooklyn/Staten Island Customer Contact Center - 787 Atlantic Avenue, 2nd Floor Brooklyn, NY 11238; Queens Customer Contact Center -
90-27 Sutphin Boulevard, 4th Floor, Jamaica, NY 11435"
HUD - Housing Choice Vouchers,160,US Department of Housing and Urban Development,Financial Assistance,Rental Assistance,Housing,"The housing choice voucher program is the federal government's major program for assisting very low-income families, the elderly, and the disabled to afford decent, safe, and sanitary housing in the private market. Since housing assistance is provided on behalf of the family or individual, participants are able to find their own housing, including single-family homes, townhouses and apartments. ","Housing choice vouchers are administered locally by public housing agencies (PHAs). The PHAs receive federal funds from the U.S. Department of Housing and Urban Development (HUD) to administer the voucher program. A family that is issued a housing voucher is responsible for finding a suitable housing unit of the family's choice where the owner agrees to rent under the program. This unit may include the family's present residence. Rental units must meet minimum standards of health and safety, as determined by the PHA, and must pass annual inspections certifying that they continue to meet these standards. A housing subsidy is paid to the landlord directly by the PHA on behalf of the participating family. The family then pays the difference between the actual rent charged by the landlord and the amount subsidized by the program. Under certain circumstances, if authorized by the PHA, a family may use its voucher to purchase a modest home.","rental assistance, housing",Visit - http://portal.hud.gov/hudportal/HUD?src=/topics/housing_choice_voucher_program_section_8,HUD,United States,"Renters, Low-Income, Individuals, Seniors, Families","Eligibility for a housing voucher is determined by the PHA based on the total annual gross income and family size and is limited to US citizens and specified categories of non-citizens who have eligible immigration status. In general, the family's income may not exceed 50% of the median income for the county or metropolitan area in which the family chooses to live. ",,,,http://portal.hud.gov/hudportal/HUD?src=/topics/housing_choice_voucher_program_section_8,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Project-based Vouchers,161,US Department of Housing and Urban Development,Financial Assistance,Rental Assistance,Housing,Project-based vouchers can be a component of a public housing agencies (PHAs) housing choice voucher program. ,"A PHA can attach up to 20 percent of its voucher assistance to specific housing units if the owner agrees to either rehabilitate or construct the units, or the owner agrees to set-aside a portion of the units in an existing development. Rehabilitated units must require at least $1,000 of rehabilitation per unit to be subsidized, and all units must meet HUD housing quality standards. In addition, many private multi-family dwellings contract with HUD to receive project-based Section 8 vouchers tied to their units. There are approximately 1.2 million multi-family units under contract with HUD at present, and although there is no funding available to initiate new project-based Section 8 units, this is an active program and renewal of current contracts is ongoing. ","rental assistance, housing",The following link is a HUD designed search of privately owned units subsidized through project-based Section 8. Please note that the search does not include project-based Section 8 vouchers administered by PHAs. http://www.hud.gov/apps/section8/index.cfm,HUD,United States,"Renters, Low-Income, Individuals, Seniors, Families",,,,,http://portal.hud.gov/hudportal/HUD?src=/program_offices/public_indian_housing/programs/hcv/project,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Continuum of Care Programs,162,US Department of Housing and Urban Development,Assistance for Organizations,Resources for Municipalities,Housing,Promotes community-wide commitment to the goal of ending homelessness; provides funding for efforts by nonprofit providers and State and local governments to quickly re-house homeless individuals and families to minimize trauma and dislocation; promotes access to and effective utilization of mainstream programs; and optimizes self-sufficiency among individuals and families experiencing homelessness,"The three current Continuum of Care Programs are:Shelter Plus Care (S+C) (available only to states, units of general local government, or public housing agencies)Supportive Housing ProgramSection 8 Moderate Rehabilitation Single Room Occupancy (SRO) Program",community-focused homelessness programs,Visit https://www.onecpd.info/coc/,HUD,United States,"Municipalities, Non-profits, Homeless, Low-Income, Disabled, Seniors",,,,,https://www.onecpd.info/coc/,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Supportive Housing Program,163,US Department of Housing and Urban Development,Assistance for Organizations,"Resources for Municipalities, Resources for Non-profits",Housing,"The Supportive Housing program is designed to promote the development of supportive housing and supportive services to assist homeless persons in transitioning from homelessness, and to promote the provision of supportive housing to enable homeless persons to live as independently as possible. Grants under the Supportive Housing Program are awarded through a national competition held annually.",,supportive housing program development,Visit http://portal.hud.gov/hudportal/HUD?src=/program_offices/comm_planning/homeless/programs/shp,HUD,United States,"Municipalities, Non-profits, Homeless, Low-Income, Disabled, Seniors","State or local governmental entities, private nonprofit organizations, or community mental health associations that are public nonprofit organizations may apply.",,,,http://portal.hud.gov/hudportal/HUD?src=/program_offices/comm_planning/homeless/programs/shp,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD - Section 8 Moderate Rehabilitation Single Room Occupancy (SRO) Program,164,US Department of Housing and Urban Development,Assistance for Organizations,"Resources for Municipalities, Resources for Non-profits",Housing,"Assists very low-income, single, homeless individuals in obtaining decent, safe, and sanitary housing in privately owned, rehabilitated buildings. ","Under the SRO program, HUD enters into annual contributions contracts (ACCs) with public housing agencies (PHAs) in connection with the moderate rehabilitation of residential properties. These PHAs make Section 8 rental assistance payments to participating landlords on behalf of homeless individuals who rent the rehabilitated dwellings. The rental assistance payments generally cover the difference between a portion (usually 30 percent) of the tenant’s adjusted income and the unit’s rent, which must be within the fair market limit established by HUD. HUD provides rental assistance for SRO units for a period of 10 years. Owners are compensated for the cost of rehabilitation (as well as the other costs of owning and maintaining the property) through the rental assistance payments. At the same time, each unit must need a minimum of $3,000 of eligible rehabilitation to qualify for the program.",SRO rehabilitation and development,Visit http://portal.hud.gov/hudportal/HUD?src=/hudprograms/sro,HUD,United States,"Municipalities, Non-profits, Homeless, Low-Income, Disabled","HUD selects PHAs and private nonprofit organizations for funding on the basis of a national continuum of care competition, in which applicants must demonstrate a need for the assistance and the ability to undertake and carry out the SRO program. In their applications, applicants are required to identify the sponsors of proposed projects, specific structures to be rehabilitated, prospective sources of acquisition and/or rehabilitation financing, and a plan for providing supportive services for the homeless individuals in the units. Generally, very low-income, single, homeless individuals are eligible to occupy the assisted units.",,,,http://portal.hud.gov/hudportal/HUD?src=/hudprograms/sro,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
Veterans Affairs Supportive Housing,165,HUD-VASH,Assistance for Organizations,"Resources for Municipalities, Resources for Non-profits",Housing,The HUD-VASH Program combines the Department of Housing and Urban Development (HUD) Housing Choice Voucher (HCV) rental assistance for homeless veterans and their families with case management and clinical services provided by the Department of Veterans Affairs (VA) at its medical centers and in the community. ,"HUD-VASH assists homeless veterans and their families afford decent, safe, and sanitary housing through the distribution of housing vouchers. Beneficiaries are selected based on certain requirements including health care eligibility, homelessness status, and income. Since 2008, beneficiaries are no longer required to be chronically mentally ill or have chronic substance abuse disorders. However, chronically homeless veterans are a target population for HUD-VASH.  For FY2009, 132 Veterans Affairs Medical Centers (VAMCs) and 137 Public Housing Agencies (PHAs) were identified and selected to participate in the HUD-VASH program. Each VAMC is partnered with at least one PHA and there is at least one VAMC-PHA partnership in each state, the District of Columbia, and Puerto Rico. ",housing and case management assistance,Visit https://www.onecpd.info/hud-vash/,HUD and VA,United States,"Municipalities, Non-profits, Veterans,  Homeless, Low-Income, Disabled","Specific VAMCs and PHAs were selected based on geographical need for assistance (as identified by the VA Secretary), PHA administrative performance, and other factors determined by the HUD Secretary in consultation with the VA Secretary.",,,,https://www.onecpd.info/hud-vash/,,,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
PIH Customer Service Center,166,Office of Public and Indian Housing,Services,"Referral Services, Housing Assistance",Housing,The PIH Customer Service Center was created to serve as a central source of information for all programs operated by the Office of Public and Indian Housing. The PIH Customer Service Center is staffed to answer questions/ inquiries from the public and Public Housing Authorities regarding public housing and housing choice voucher programs and regulations.,"Please contact the PIH Customer Service Center through our toll-free number at (800) 955-2232 from 9:00 a.m. to 5:00 p.m., Eastern Standard Time (EST) daily Monday through Friday, except for Federal holidays. You may also send an email directly to the Public Housing’s Customer Service email address:  pihirc@firstpic.org",counseling and referral services ," Please contact the PIH Customer Service Center through our toll-free number at (800) 955-2232 from 9:00 a.m. to 5:00 p.m., Eastern Standard Time (EST) daily Monday through Friday, except for Federal holidays. You may also send an email directly to the Public Housing’s Customer Service email address:  pihirc@firstpic.org.",HUD,United States,"Individuals, Families, Renters, Homeowners",,,,,http://portal.hud.gov/hudportal/HUD?src=/program_offices/public_indian_housing,,(800) 955-2232 ,9am-5pm,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,
HUD Housing Discrimination Hotline,167,US Department of Housing and Urban Development,Services,Other Housing Services,Housing,"Federal law prohibits housing discrimination based on your race, color, national origin, religion, sex, familial status, or disability. If you have been trying to buy or rent a home or apartment and you believe your civil rights have been violated, you can file your fair housing complaint",,fair housing complaint,"You can file your fair housing complaint online at www.hud.gov or contact HUD Housing Discrimination Hotline at (800)669-9777 and for the hearing impaired, please call TTY (800)927-9275.",HUD,United States,"Individuals, Families, Renters, Homeowners",,,,,http://portal.hud.gov/hudportal/HUD?src=/topics/housing_discrimination,,(800) 669-9777; (800) 927-9275,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,, (800)669-9777; TTY (800)927-9275
The FHA Resource Center,168,US Department of Housing and Urban Development,Services,"Referral Services, Housing Assistance",Housing,Are you a consumer with questions about... Buying a home? Qualifying for a loan? FHA loans? Down payment assistance? HUD Homes?,Online FAQ Site:  www.hud.gov/answers. Our online knowledge base helps you find answers 24/7.Email:  answers@hud.gov. The FHA Resource Center can accept emails with attachments.  To ensure proper attention to the attachment please reference it within the body of the email.Telephone:  (800) CALL-FHA (225-5342). Persons with hearing or speech impairments may access this number via TTY by calling the Federal Information Relay Service at (800) 877-8339.,housing counseling and referral services ,Online FAQ Site:  www.hud.gov/answers. Our online knowledge base helps you find answers 24/7.Email:  answers@hud.gov. The FHA Resource Center can accept emails with attachments.  To ensure proper attention to the attachment please reference it within the body of the email.Telephone:  (800) CALL-FHA (225-5342). Persons with hearing or speech impairments may access this number via TTY by calling the Federal Information Relay Service at (800) 877-8339.,HUD,United States,"Individuals, Families, Renters, Homeowners",,,,,www.hud.gov/answers.,answers@hud.gov,(800) 225-5342; (800) 877-8339,,,,,Federal Government,,New York Hurricane Sandy Disaster Recovery Resources,,(800) CALL-FHA (225-5342); TTY (800) 877-8339.
Lutheran Social Services of NY -- Sandy Legal Representation Project,169,,Services,"Legal, Case Management","Immigrants and Undocumented Residents
","The Sandy Legal Representation Project at Lutheran Social Services of New York (LSSNY) is designed to provide free, needed legal services to immigrant and undocumented survivors of Superstorm Sandy. ","Services offered: Legal consultations & advice; Replacement of documents from DHS (work authorization, green cards, travel documents, certificates of citizenship, lost paperwork regarding ongoing applications); Assistance with immigration applications, including applications for green cards, work authorization, citizenship, family petitions, asylum, and others; Advocacy with NYC’s Human Resources Administration where benefits improperly denied due to immigration status; Representation before the Immigration court (where appropriate, caseload permitting)",legal help and case management ,"Referral program -  contact Priya Patel at ppatel@lssny.org or (212) 265-1826 ext. 3009 for additional information, or to refer a client.",Lutheran Social Services of NY,"Staten Island, Queens","Immigrants, Undocumented, Refugee, Asylee, Case managers, Non-English speakers","Eligible individuals: Immigrants of any legal status who have been impacted by Superstorm Sandy Includes both individuals who are undocumented, and those with lawful status (asylees, refugees, student visa-holders, green card-holders, temporary protected status, etc.); Must reside in Staten Island or Queens, NY",,,,, ppatel@lssny.org,(212) 265-1826 ext3009,, Priya Patel ,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
